Abbas Kiarostami
Akira Kurosawa
Alain Resnais
Alejandro González Iñárritu
Alfred Hitchcock
Andrei Tarkovsky
Ang Lee
Billy Wilder
Bob Rafelson
Buster Keaton
Charlie Chaplin
Christopher Nolan
Clint Eastwood
Darren Aronofsky
David Cronenberg
David Fincher
David Lean
David Lynch
Errol Morris
Federico Fellini
Francis Ford Coppola
François Truffaut
Frank Capra
Fred Zinnemann
Fritz Lang
George Lucas
Guillermo del Toro
Hayao Miyazaki
Ingmar Bergman
James Cameron
Jean Renoir
Jean-Luc Godard
Joel and Ethan Coen
John Carpenter
John Hughes
John Singleton
Judd Apatow
Kathryn Bigelow
Ken Loach
Louis Malle
Martin Ritt
Martin Scorsese
Michael Mann
Michelangelo Antonioni
Mike Leigh
Nora Ephron
Orson Welles
Paul Thomas Anderson
Pedro Almodóvar
Peter Greenaway
Quentin Tarantino
Richard Linklater
Ridley Scott
Robert Altman
Robert Wise
Roman Polanski
Satyajit Ray
Sergei Eisenstein
Sergio Leone
Sidney Lumet
Sofia Coppola
Spike Lee
Stanley Kubrick
Sydney Pollack
Terrence Malick
Terrence McNally
Terry Gilliam
Werner Herzog
Wes Anderson
Yasujira Ozu
